model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
Mistral,ChaosNLI,mistral_7b,chaosnli,0.55,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.6000000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.65,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.7000000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.75,0.632578070697904,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.8,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979042,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.8500000000000001,0.6325780706979041,0.6325780706979038,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.9,0.632578070697904,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.9500000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,1.0,0.6325780706979042,0.6325780706979042,0.6325780706979042,0.6325780706979042,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.0,0.02608532621667283,0.0033298236529531204,0.020747362760707953,0.06634033277806622,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.05,0.05442468690611395,0.005378945900924299,0.055454370835719455,0.10988418054745334,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.1,0.11099070656135775,0.0619859480011275,0.10988418054745329,0.16649118264765653,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.15000000000000002,0.17687203595587841,0.12294733487826948,0.17519995220153398,0.23616133907867587,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.2,0.2530389344740903,0.19697187608622746,0.2535788781864307,0.30583149550969524,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.25,0.34003954231732564,0.2990821991054402,0.34066657372520476,0.38660533312190815,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.30000000000000004,0.43552249170603763,0.38616989464421436,0.43646303881785636,0.48675618299149825,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.35000000000000003,0.5456187564061559,0.5017788104719368,0.5453226582413242,0.5845121212337724,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.4,0.6769644188177352,0.636764738557037,0.680308586326424,0.7151436645419337,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.45,0.8302735980441932,0.7978769753037692,0.8327120535192789,0.86319274695785,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.5,0.8893190556194823,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.55,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.6000000000000001,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.65,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.7000000000000001,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.75,0.8893190556194823,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.8,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.8500000000000001,0.8893190556194823,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.9,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,0.9500000000000001,0.8893190556194824,0.8893190556194822,0.8893190556194823,0.8893190556194823,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,Pavlick-NLI,mistral_7b,pavlick_nli,1.0,0.8893190556194827,0.8893190556194827,0.8893190556194827,0.8893190556194827,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
Mistral,PubMedQA,mistral_7b,pubmedqa,0.0,0.019230945545972503,0.0020842058954460784,0.015587041598860995,0.049018520043127484,0.00830715517046124,1868,0.1076017130620985,0.5353319057815846
